Frame,psnr,ssim,lpips,elevation_angle,initial_image
frame_0,18.403254874990616,0.8668417797696405,0.11927881,-20,frame_3
frame_1,17.696286978721492,0.8548720311364227,0.13367742,-20,frame_3
frame_2,16.5396501333516,0.8411578829106142,0.15395765,-20,frame_3
frame_3,15.797228984223004,0.833728704856509,0.1701659,-20,frame_3
frame_4,15.460959486422823,0.8324525080741153,0.17321533,-20,frame_3
frame_5,15.475982512860252,0.8442554961908065,0.1771844,-20,frame_3
frame_6,15.930643759365273,0.8672734374239112,0.17155032,-20,frame_3
frame_7,15.485810159874838,0.8793766438805884,0.17879352,-20,frame_3
frame_8,15.272585405309835,0.8791517665355669,0.17939083,-20,frame_3
frame_9,14.775540457268479,0.8650013577978714,0.1790587,-20,frame_3
frame_10,14.39713420301214,0.8441287397564321,0.18332505,-20,frame_3
frame_11,14.800358219557431,0.8376946675972491,0.18107522,-20,frame_3
frame_12,15.606493570280875,0.8391108159786981,0.17457487,-20,frame_3
frame_13,16.098965520896346,0.8420692163778911,0.17064446,-20,frame_3
frame_14,16.49146806202753,0.8504947570718624,0.16141614,-20,frame_3
frame_15,17.206289490761225,0.8637509633511615,0.15432274,-20,frame_3
frame_16,18.406868217054242,0.8818456714288526,0.15192704,-20,frame_3
frame_17,18.976935580531293,0.9045564458419552,0.14917172,-20,frame_3
frame_18,20.294274734375023,0.9125383643687051,0.13947342,-20,frame_3
frame_19,19.491487105033713,0.9055959315541688,0.13620035,-20,frame_3
frame_20,15.931831625083488,0.8646139469524773,0.1743094,-20,frame_3
